filename,line_num,date,v0,v1,log_msg
feature_pyramid.cc,55,1900-10-08 23:40:20.149426,25,7675,Found 25 invalid patches (7675 valid)
feature_pyramid.cc,55,1900-10-08 23:40:24.178185,3,7697,Found 3 invalid patches (7697 valid)
feature_pyramid.cc,55,1900-10-08 23:40:27.386914,478,7222,Found 478 invalid patches (7222 valid)
feature_pyramid.cc,55,1900-10-08 23:40:30.117084,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:40:32.670197,665,7035,Found 665 invalid patches (7035 valid)
feature_pyramid.cc,55,1900-10-08 23:40:35.186692,53,7647,Found 53 invalid patches (7647 valid)
feature_pyramid.cc,55,1900-10-08 23:40:37.703832,109,7591,Found 109 invalid patches (7591 valid)
feature_pyramid.cc,55,1900-10-08 23:40:40.462061,43,7657,Found 43 invalid patches (7657 valid)
feature_pyramid.cc,55,1900-10-08 23:40:43.230157,496,7204,Found 496 invalid patches (7204 valid)
feature_pyramid.cc,55,1900-10-08 23:40:45.826776,6,7694,Found 6 invalid patches (7694 valid)
feature_pyramid.cc,55,1900-10-08 23:40:49.639991,36,7664,Found 36 invalid patches (7664 valid)
feature_pyramid.cc,55,1900-10-08 23:40:52.091090,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:40:54.660157,2050,5650,Found 2050 invalid patches (5650 valid)
feature_pyramid.cc,55,1900-10-08 23:40:57.283294,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:40:59.894122,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:41:03.637174,63,7637,Found 63 invalid patches (7637 valid)
feature_pyramid.cc,55,1900-10-08 23:41:06.824030,8,7692,Found 8 invalid patches (7692 valid)
feature_pyramid.cc,55,1900-10-08 23:41:09.574074,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:41:25.719825,3539,4161,Found 3539 invalid patches (4161 valid)
feature_pyramid.cc,55,1900-10-08 23:41:28.692905,5031,2669,Found 5031 invalid patches (2669 valid)
feature_pyramid.cc,55,1900-10-08 23:41:30.820286,759,6941,Found 759 invalid patches (6941 valid)
feature_pyramid.cc,55,1900-10-08 23:41:33.223256,7608,92,Found 7608 invalid patches (92 valid)
feature_pyramid.cc,55,1900-10-08 23:41:35.231132,84,7616,Found 84 invalid patches (7616 valid)
feature_pyramid.cc,55,1900-10-08 23:41:39.533740,20,7680,Found 20 invalid patches (7680 valid)
feature_pyramid.cc,55,1900-10-08 23:41:43.872146,5722,1978,Found 5722 invalid patches (1978 valid)
feature_pyramid.cc,55,1900-10-08 23:41:46.259172,1929,5771,Found 1929 invalid patches (5771 valid)
feature_pyramid.cc,55,1900-10-08 23:41:48.336938,951,6749,Found 951 invalid patches (6749 valid)
feature_pyramid.cc,55,1900-10-08 23:41:50.974210,2736,4964,Found 2736 invalid patches (4964 valid)
feature_pyramid.cc,55,1900-10-08 23:41:54.458796,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:41:58.555042,26,7674,Found 26 invalid patches (7674 valid)
feature_pyramid.cc,55,1900-10-08 23:42:02.806854,4053,3647,Found 4053 invalid patches (3647 valid)
feature_pyramid.cc,55,1900-10-08 23:42:05.060873,7,7693,Found 7 invalid patches (7693 valid)
feature_pyramid.cc,55,1900-10-08 23:42:07.474632,6122,1578,Found 6122 invalid patches (1578 valid)
feature_pyramid.cc,55,1900-10-08 23:42:08.962291,688,7012,Found 688 invalid patches (7012 valid)
feature_pyramid.cc,55,1900-10-08 23:42:12.281090,941,6759,Found 941 invalid patches (6759 valid)
feature_pyramid.cc,55,1900-10-08 23:42:14.473006,2702,4998,Found 2702 invalid patches (4998 valid)
feature_pyramid.cc,55,1900-10-08 23:42:16.558799,2539,5161,Found 2539 invalid patches (5161 valid)
feature_pyramid.cc,55,1900-10-08 23:42:20.180424,7481,219,Found 7481 invalid patches (219 valid)
feature_pyramid.cc,55,1900-10-08 23:42:22.215090,1161,6539,Found 1161 invalid patches (6539 valid)
feature_pyramid.cc,55,1900-10-08 23:42:25.977082,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:42:29.800092,1,7699,Found 1 invalid patches (7699 valid)
feature_pyramid.cc,55,1900-10-08 23:42:34.220345,919,6781,Found 919 invalid patches (6781 valid)
feature_pyramid.cc,55,1900-10-08 23:42:37.934561,179,7521,Found 179 invalid patches (7521 valid)
feature_pyramid.cc,55,1900-10-08 23:42:55.840405,3421,4279,Found 3421 invalid patches (4279 valid)
feature_pyramid.cc,55,1900-10-08 23:42:59.006407,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:43:02.877202,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:43:07.491356,1957,5743,Found 1957 invalid patches (5743 valid)
feature_pyramid.cc,55,1900-10-08 23:43:09.833153,17,7683,Found 17 invalid patches (7683 valid)
feature_pyramid.cc,55,1900-10-08 23:43:12.472494,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:43:15.225363,2690,5010,Found 2690 invalid patches (5010 valid)
feature_pyramid.cc,55,1900-10-08 23:43:17.868665,0,7700,Found 0 invalid patches (7700 valid)
feature_pyramid.cc,55,1900-10-08 23:43:21.145244,1100,6600,Found 1100 invalid patches (6600 valid)
feature_pyramid.cc,55,1900-10-08 23:43:25.329041,36,7664,Found 36 invalid patches (7664 valid)
